periode_data,tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,Unnamed: 11
201401,1/1/2014,DKI1 (Bunderan HI),77,3,39,54,13,77,PM10,SEDANG,
201401,1/2/2014,DKI1 (Bunderan HI),55,4,29,58,12,58,O3,SEDANG,
201401,1/3/2014,DKI1 (Bunderan HI),60,5,40,68,13,68,O3,SEDANG,
201401,1/4/2014,DKI1 (Bunderan HI),55,7,30,56,14,56,O3,SEDANG,
201401,1/5/2014,DKI1 (Bunderan HI),39,4,18,48,10,48,O3,BAIK,
201401,1/6/2014,DKI1 (Bunderan HI),27,2,18,45,6,45,O3,BAIK,
201401,1/7/2014,DKI1 (Bunderan HI),40,5,27,52,13,52,O3,SEDANG,
201401,1/8/2014,DKI1 (Bunderan HI),51,3,31,57,12,57,O3,SEDANG,
201401,1/9/2014,DKI1 (Bunderan HI),50,5,39,41,10,50,PM10,BAIK,
201401,1/10/2014,DKI1 (Bunderan HI),39,3,24,56,10,56,O3,SEDANG,
201401,1/11/2014,DKI1 (Bunderan HI),51,4,28,75,21,75,O3,SEDANG,
201401,1/12/2014,DKI1 (Bunderan HI),44,1,25,71,13,71,O3,SEDANG,
201401,1/13/2014,DKI1 (Bunderan HI),40,6,39,54,15,54,O3,SEDANG,
201401,1/14/2014,DKI1 (Bunderan HI),54,9,36,53,16,54,PM10,SEDANG,
201401,1/15/2014,DKI1 (Bunderan HI),46,3,29,54,10,54,O3,SEDANG,
201401,1/16/2014,DKI1 (Bunderan HI),50,4,39,46,14,50,PM10,BAIK,
201401,1/17/2014,DKI1 (Bunderan HI),51,2,33,56,18,56,O3,SEDANG,
201401,1/18/2014,DKI1 (Bunderan HI),39,1,25,55,15,55,O3,SEDANG,
201401,1/19/2014,DKI1 (Bunderan HI),38,1,26,57,15,57,O3,SEDANG,
201401,1/20/2014,DKI1 (Bunderan HI),54,2,23,53,13,54,PM10,SEDANG,
201401,1/21/2014,DKI1 (Bunderan HI),44,2,28,52,15,52,O3,SEDANG,
201401,1/22/2014,DKI1 (Bunderan HI),59,7,29,51,15,59,PM10,SEDANG,
201401,1/23/2014,DKI1 (Bunderan HI),48,2,26,53,15,53,O3,SEDANG,
201401,1/24/2014,DKI1 (Bunderan HI),59,4,41,50,17,59,PM10,SEDANG,
201401,1/25/2014,DKI1 (Bunderan HI),53,2,23,53,15,53,PM10,SEDANG,
201401,1/26/2014,DKI1 (Bunderan HI),60,3,32,56,12,60,PM10,SEDANG,
201401,1/27/2014,DKI1 (Bunderan HI),65,2,29,51,13,65,PM10,SEDANG,
201401,1/28/2014,DKI1 (Bunderan HI),---,1,26,52,11,52,O3,SEDANG,
201401,1/29/2014,DKI1 (Bunderan HI),---,1,25,49,12,49,O3,BAIK,
201401,1/30/2014,DKI1 (Bunderan HI),---,2,24,42,10,42,O3,BAIK,
201401,1/31/2014,DKI1 (Bunderan HI),---,1,23,46,10,46,O3,BAIK,
201401,1/1/2014,DKI2 (Kelapa Gading),56,2,33,50,13,56,PM10,SEDANG,
201401,1/2/2014,DKI2 (Kelapa Gading),41,2,21,47,13,47,O3,BAIK,
201401,1/3/2014,DKI2 (Kelapa Gading),55,9,49,49,16,55,PM10,SEDANG,
201401,1/4/2014,DKI2 (Kelapa Gading),42,5,17,55,10,55,O3,SEDANG,
201401,1/5/2014,DKI2 (Kelapa Gading),29,1,13,37,7,37,O3,BAIK,
